Regionname,Suburb,Propertycount,Address,CouncilArea,Postcode,Distance,BrokerAgent,Date,Longtitude,Lattitude,Method,Type,Rooms,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Price
Northern Metropolitan,Abbotsford,4019,85 Turner St,Yarra,3067,2.5,Biggin,03-12-2016,144.9984,-37.7996,S,h,2,2,1,1,202,,,1480000
Northern Metropolitan,Abbotsford,4019,25 Bloomburg St,Yarra,3067,2.5,Biggin,04-02-2016,144.9934,-37.8079,S,h,2,2,1,0,156,79,1900,1035000
Northern Metropolitan,Abbotsford,4019,5 Charles St,Yarra,3067,2.5,Biggin,04-03-2017,144.9944,-37.8093,SP,h,3,3,2,0,134,150,1900,1465000
Northern Metropolitan,Abbotsford,4019,40 Federation La,Yarra,3067,2.5,Biggin,04-03-2017,144.9969,-37.7969,PI,h,3,3,2,1,94,,,850000
Northern Metropolitan,Abbotsford,4019,55a Park St,Yarra,3067,2.5,Nelson,04-06-2016,144.9941,-37.8072,VB,h,4,3,1,2,120,142,2014,1600000
Northern Metropolitan,Abbotsford,4019,129 Charles St,Yarra,3067,2.5,Jellis,07-05-2016,144.9953,-37.8041,S,h,2,2,1,0,181,,,941000
Northern Metropolitan,Abbotsford,4019,124 Yarra St,Yarra,3067,2.5,Nelson,07-05-2016,144.9993,-37.8024,S,h,3,4,2,0,245,210,1910,1876000
Northern Metropolitan,Abbotsford,4019,98 Charles St,Yarra,3067,2.5,Nelson,08-05-2016,144.9954,-37.806,S,h,2,2,1,2,256,107,1890,1636000
Northern Metropolitan,Abbotsford,4019,6/241 Nicholson St,Yarra,3067,2.5,Biggin,09-05-2016,144.9973,-37.8008,S,u,1,1,1,1,0,,,300000
Northern Metropolitan,Abbotsford,4019,10 Valiant St,Yarra,3067,2.5,Biggin,10-05-2016,144.9989,-37.801,S,h,2,3,1,2,220,75,1900,1097000
Northern Metropolitan,Abbotsford,4019,411/8 Grosvenor St,Yarra,3067,2.5,Jellis,11-05-2016,145.0067,-37.811,VB,u,2,2,2,1,0,,,700000
Northern Metropolitan,Abbotsford,4019,40 Nicholson St,Yarra,3067,2.5,Nelson,12-05-2016,144.9964,-37.8085,VB,h,3,3,2,2,214,190,2005,1350000
Northern Metropolitan,Abbotsford,4019,123/56 Nicholson St,Yarra,3067,2.5,Biggin,13-05-2016,144.9965,-37.8078,S,u,2,2,2,1,0,94,2009,750000
Northern Metropolitan,Abbotsford,4019,45 William St,Yarra,3067,2.5,Biggin,14-05-2016,144.9973,-37.8084,S,h,2,2,1,1,195,,,1172500
Northern Metropolitan,Abbotsford,4019,7/20 Abbotsford St,Yarra,3067,2.5,Greg,15-05-2016,144.9988,-37.8016,SP,u,1,1,1,1,0,,,441000
Northern Metropolitan,Abbotsford,4019,16 William St,Yarra,3067,2.5,Jellis,16-05-2016,144.9976,-37.809,S,h,2,2,1,2,238,97,1890,1310000
Northern Metropolitan,Abbotsford,4019,42 Henry St,Yarra,3067,2.5,Jellis,17-05-2016,144.993,-37.8056,S,h,3,3,2,1,113,110,1880,1200000
Northern Metropolitan,Abbotsford,4019,78 Yarra St,Yarra,3067,2.5,LITTLE,18-05-2016,144.9965,-37.8021,S,h,3,2,1,1,138,105,1890,1176500
Northern Metropolitan,Abbotsford,4019,196 Nicholson St,Yarra,3067,2.5,Collins,19-05-2016,144.9975,-37.8022,S,h,3,3,1,0,183,,,955000
Northern Metropolitan,Abbotsford,4019,42 Valiant St,Yarra,3067,2.5,Biggin,20-05-2016,145.0004,-37.8011,S,h,2,2,1,1,150,73,1985,890000
Northern Metropolitan,Abbotsford,4019,3/72 Charles St,Yarra,3067,2.5,Kay,21-05-2016,144.9952,-37.8073,PI,h,4,4,2,2,780,135,1900,1330000
Northern Metropolitan,Abbotsford,4019,13/11 Nicholson St,Yarra,3067,2.5,Beller,22-05-2016,144.9959,-37.8093,S,t,3,3,2,2,0,,2010,900000
Northern Metropolitan,Abbotsford,4019,138/56 Nicholson St,Yarra,3067,2.5,Jellis,23-05-2016,144.9965,-37.8078,S,u,3,3,2,2,4290,27,,1090000
Northern Metropolitan,Abbotsford,4019,6/219 Nicholson St,Yarra,3067,2.5,Collins,24-05-2016,144.9972,-37.8015,S,u,2,2,1,1,0,60,1970,500000
Northern Metropolitan,Abbotsford,4019,52a William St,Yarra,3067,2.5,Biggin,25-05-2016,144.9977,-37.8079,PI,h,2,2,2,1,124,135,2013,1100000
Northern Metropolitan,Abbotsford,4019,49 Park St,Yarra,3067,2.5,Marshall,26-05-2016,144.994,-37.808,S,h,2,2,1,0,147,85,1900,1315000
Northern Metropolitan,Abbotsford,4019,5/20 Abbotsford St,Yarra,3067,2.5,Greg,27-05-2016,144.9988,-37.8016,SP,u,1,1,1,1,0,,,426000
Northern Metropolitan,Abbotsford,4019,48 Abbotsford St,Yarra,3067,2.5,Nelson,28-05-2016,145.0001,-37.8017,PI,h,3,3,3,1,166,174,2012,1447500
Northern Metropolitan,Abbotsford,4019,116/56 Nicholson St,Yarra,3067,2.5,Jellis,29-05-2016,144.9965,-37.8078,S,u,1,1,1,1,0,50,,457000
Northern Metropolitan,Abbotsford,4019,159 Park St,Yarra,3067,2.5,Nelson,30-05-2016,144.9952,-37.8005,S,h,2,2,2,2,98,128,1920,1135000
Northern Metropolitan,Abbotsford,4019,31 Turner St,Yarra,3067,2.5,Collins,31-05-2016,144.9965,-37.7994,S,h,4,4,3,1,0,,,1542000
Northern Metropolitan,Abbotsford,4019,166 Gipps St,Yarra,3067,2.5,Biggin,01-06-2016,144.9943,-37.805,S,h,3,3,2,2,147,18,,1290000
Northern Metropolitan,Abbotsford,4019,60 Stafford St,Yarra,3067,2.5,Biggin,02-06-2016,144.9958,-37.8007,S,h,3,3,1,1,168,124,1950,1290000
Northern Metropolitan,Abbotsford,4019,11/205 Gipps St,Yarra,3067,2.5,Nelson,03-06-2016,144.9961,-37.8055,S,u,1,1,1,1,0,50,2013,470000
Northern Metropolitan,Abbotsford,4019,47 Studley St,Yarra,3067,2.5,Jellis,04-06-2016,144.9956,-37.8016,S,h,2,2,1,0,162,91,1900,1180000
Northern Metropolitan,Abbotsford,4019,45 Yarra St,Yarra,3067,2.5,Jellis,05-06-2016,144.9954,-37.8022,SP,h,3,3,2,1,120,128,1998,1195000
Northern Metropolitan,Abbotsford,4019,200 Nicholson St,Yarra,3067,2.5,Nelson,06-06-2016,144.9976,-37.8021,S,h,2,2,1,0,182,82,1900,1012500
Northern Metropolitan,Abbotsford,4019,27 Charles St,Yarra,3067,2.5,Biggin,07-06-2016,144.9946,-37.8086,S,h,2,2,1,1,172,81,1930,1030000
Western Metropolitan,Airport West,3464,154 Halsey Rd,Moonee Valley,3042,13.5,Nelson,08-06-2016,144.878,-37.718,PI,t,3,3,2,1,303,225,2016,840000
Western Metropolitan,Airport West,3464,50 Bedford St,Moonee Valley,3042,13.5,Nelson,09-06-2016,144.8755,-37.7203,VB,h,3,3,2,1,0,145,1965,730000
Western Metropolitan,Airport West,3464,50 Bedford St,Moonee Valley,3042,13.5,Nelson,10-06-2016,144.8755,-37.7203,SP,h,3,3,2,1,0,145,1965,770000
Western Metropolitan,Airport West,3464,23 Hart St,Moonee Valley,3042,13.5,Nelson,11-06-2016,144.888,-37.7294,S,h,2,2,1,1,272,84,1950,603000
Western Metropolitan,Airport West,3464,1/80 Hawker St,Moonee Valley,3042,13.5,Brad,12-06-2016,144.8837,-37.7218,S,t,3,3,2,2,239,134,2009,700000
Western Metropolitan,Airport West,3464,1/37 Hillside Gr,Moonee Valley,3042,13.5,Maddison,13-06-2016,144.8744,-37.7273,S,h,3,2,1,1,290,116,1980,600000
Western Metropolitan,Airport West,3464,2/49 McIntosh St,Moonee Valley,3042,13.5,Barry,14-06-2016,144.8864,-37.7215,VB,u,2,2,1,1,168,86,2011,500000
Western Metropolitan,Airport West,3464,54 Marshall Rd,Moonee Valley,3042,13.5,Barry,15-06-2016,144.8872,-37.7173,S,h,3,2,1,1,620,,,720000
Western Metropolitan,Airport West,3464,36 Roberts Rd,Moonee Valley,3042,13.5,Considine,16-06-2016,144.8792,-37.7259,S,h,4,3,1,2,597,127,,785000
Western Metropolitan,Airport West,3464,11 Harrington Rd,Moonee Valley,3042,13.5,Barry,17-06-2016,144.8735,-37.7239,SP,h,6,6,3,2,976,186,1980,725000
Western Metropolitan,Airport West,3464,2/252 Parer Rd,Moonee Valley,3042,13.5,Barry,18-06-2016,144.871,-37.7216,S,t,2,2,1,1,110,90,2015,450000
Western Metropolitan,Airport West,3464,3/19 Hart St,Moonee Valley,3042,13.5,Barry,19-06-2016,144.8883,-37.7298,S,u,2,2,1,1,141,73,2013,515000
Western Metropolitan,Airport West,3464,2/62 Clydesdale Rd,Moonee Valley,3042,13.5,Nelson,20-06-2016,144.8792,-37.7234,S,u,2,2,1,1,120,94,2012,530000
Western Metropolitan,Airport West,3464,3 Deidre Ct,Moonee Valley,3042,13.5,Rendina,21-06-2016,144.8728,-37.7249,PI,h,3,3,1,6,1063,133,1975,895000
Western Metropolitan,Airport West,3464,13 Etzel St,Moonee Valley,3042,13.5,Nelson,22-06-2016,144.8783,-37.7217,S,h,3,3,1,1,0,105,1950,805000
Western Metropolitan,Airport West,3464,1/43 Cameron St,Moonee Valley,3042,13.5,Nelson,23-06-2016,144.8855,-37.7302,S,u,3,3,1,1,265,130,1993,752000
